schedule_season,schedule_week,schedule_playoff,score_home,score_away,team_favorite_id,spread_favorite,over_under_line,stadium_neutral,team_home_abbrev,team_away_abbrev,home_team_favored,point_diff,home_team_won
1980,1,False,13,34,LAC,-2.0,45.0,False,SEA,LAC,0,-21,0
1980,1,False,35,41,ARI,-7.0,42.0,False,ARI,NYG,1,-6,0
1980,1,False,3,17,WAS,-2.0,45.0,False,WAS,DAL,1,-14,0
1980,2,False,10,9,TB,-3.0,40.0,False,TB,LAR,1,1,1
1980,2,False,17,20,PIT,-7.0,40.0,False,IND,PIT,0,-3,0
1980,2,False,20,10,PICK,0.0,34.0,False,BUF,NYJ,0,10,1
1980,2,False,22,3,CHI,-4.0,37.0,False,CHI,NO,1,19,1
1980,2,False,41,20,DEN,-2.0,40.0,False,DEN,DAL,1,21,1
1980,2,False,7,29,DET,-4.0,38.0,False,GB,DET,0,-22,0
1980,2,False,16,17,KC,-2.0,38.0,False,KC,SEA,1,-1,0
1980,2,False,17,16,MIA,-7.0,35.0,False,MIA,CIN,1,1,1
1980,2,False,7,42,MIN,-4.0,40.0,False,MIN,PHI,1,-35,0
1980,2,False,21,37,NE,-8.0,49.0,False,NE,ATL,1,-16,0
1980,2,False,21,23,WAS,-4.0,38.0,False,NYG,WAS,0,-2,0
1980,2,False,30,24,LAC,-7.0,44.0,False,LAC,LVR,1,6,1
1980,2,False,24,21,SF,-3.0,42.0,False,SF,ARI,1,3,1
1980,2,False,7,16,TEN,-4.0,44.0,False,CLE,TEN,0,-9,0
1980,3,False,17,20,ATL,-3.0,40.0,False,ATL,MIA,1,-3,0
1980,3,False,14,34,CHI,-6.0,39.0,False,CHI,MIN,1,-20,0
1980,3,False,30,28,PIT,-7.0,39.0,False,CIN,PIT,0,2,1
1980,3,False,20,13,CLE,-4.0,38.0,False,CLE,KC,1,7,1
1980,3,False,28,17,DAL,-7.0,36.0,False,DAL,TB,1,11,1
1980,3,False,13,30,DEN,-2.0,47.0,False,DEN,LAC,1,-17,0
1980,3,False,20,7,DET,-7.5,42.0,False,DET,ARI,1,13,1
1980,3,False,21,16,TEN,-7.0,35.0,False,TEN,IND,1,5,1
1980,3,False,51,21,LAR,-14.0,38.0,False,LAR,GB,1,30,1
1980,3,False,26,35,NO,-2.0,40.0,False,NO,BUF,1,-9,0
1980,3,False,27,37,NYJ,-5.0,39.0,False,NYJ,SF,1,-10,0
1980,3,False,24,21,LVR,-4.0,40.0,False,LVR,WAS,1,3,1
1980,3,False,31,37,SEA,-2.0,47.0,False,SEA,NE,1,-6,0
1980,3,False,35,3,PHI,-10.0,40.0,False,PHI,NYG,1,32,1
1980,4,False,35,21,IND,-4.0,38.0,False,IND,NYJ,1,14,1
1980,4,False,24,7,BUF,-2.0,42.0,False,BUF,LVR,1,17,1
1980,4,False,10,13,TEN,-3.0,36.0,False,CIN,TEN,0,-3,0
1980,4,False,27,7,DET,-6.0,43.0,False,DET,MIN,1,20,1
1980,4,False,7,28,DAL,-10.0,42.0,False,GB,DAL,0,-21,0
1980,4,False,7,24,LAC,-6.0,42.0,False,KC,LAC,0,-17,0
1980,4,False,21,16,MIA,-7.0,39.0,False,MIA,NO,1,5,1
1980,4,False,7,28,LAR,-5.0,42.0,False,NYG,LAR,0,-21,0
1980,4,False,38,3,PIT,-13.0,39.0,False,PIT,CHI,1,35,1
1980,4,False,17,20,SF,-3.0,50.0,False,SF,ATL,1,-3,0
1980,4,False,24,14,PHI,-6.0,44.0,False,ARI,PHI,0,10,1
1980,4,False,27,34,TB,-3.0,35.0,False,TB,CLE,1,-7,0
1980,4,False,0,14,WAS,-4.0,42.0,False,WAS,SEA,1,-14,0
1980,4,False,23,14,NE,-4.0,48.0,False,NE,DEN,1,9,1
1980,5,False,43,28,DET,-2.0,42.0,False,ATL,DET,0,15,1
1980,5,False,16,19,CLE,-4.0,42.0,False,CLE,DEN,1,-3,0
1980,5,False,24,3,DAL,-12.0,42.0,False,DAL,NYG,1,21,1
1980,5,False,14,9,CIN,-7.0,38.0,False,GB,CIN,0,5,1
1980,5,False,7,26,TEN,-7.0,37.0,False,TEN,SEA,1,-19,0
1980,5,False,48,26,LAR,-9.0,48.0,False,LAR,SF,1,22,1
1980,5,False,17,30,MIA,-1.0,36.0,False,MIA,IND,1,-13,0
1980,5,False,17,23,PIT,-8.0,46.0,False,MIN,PIT,0,-6,0
1980,5,False,7,40,ARI,-1.0,45.0,False,NO,ARI,0,-33,0
1980,5,False,11,21,NE,-4.0,49.0,False,NYJ,NE,0,-10,0
1980,5,False,17,31,LVR,-7.0,39.0,False,LVR,KC,1,-14,0
1980,5,False,24,14,PHI,-7.0,35.0,False,PHI,WAS,1,10,1
1980,5,False,24,26,LAC,-7.0,44.0,False,LAC,BUF,1,-2,0
1980,5,False,23,0,TB,-1.0,35.0,False,CHI,TB,0,23,1
1980,6,False,7,14,ATL,-7.0,46.0,False,ATL,NYJ,1,-7,0
1980,6,False,12,17,BUF,-3.0,40.0,False,BUF,IND,1,-5,0
1980,6,False,59,14,DAL,-9.0,48.0,False,DAL,SF,1,45,1
1980,6,False,24,13,DET,-11.0,45.0,False,DET,NO,1,11,1
1980,6,False,21,20,TEN,-4.0,36.0,False,KC,TEN,0,1,1
1980,6,False,13,7,MIN,-3.0,38.0,False,MIN,CHI,1,6,1
1980,6,False,34,0,NE,-7.0,43.0,False,NE,MIA,1,34,1
1980,6,False,16,31,PHI,-8.0,41.0,False,NYG,PHI,0,-15,0
1980,6,False,38,24,LAC,-6.0,45.0,False,LVR,LAC,0,14,1
1980,6,False,16,17,PIT,-13.0,40.0,False,PIT,CIN,1,-1,0
1980,6,False,3,27,SEA,-4.0,40.0,False,SEA,CLE,1,-24,0
1980,6,False,13,21,LAR,-3.0,49.0,False,ARI,LAR,0,-8,0
1980,6,False,14,14,TB,-8.0,36.0,False,TB,GB,1,0,0
1980,6,False,20,17,DEN,-6.0,35.0,False,DEN,WAS,1,3,1
1980,7,False,21,37,IND,-3.0,43.0,False,IND,NE,1,-16,0
1980,7,False,24,7,DET,-3.0,40.0,False,CHI,DET,0,17,1
1980,7,False,14,0,CIN,-4.0,36.0,False,CIN,MIN,1,14,1
